2026-02-12 12:35:48.817 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 12:35:48.824 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 12:35:48.850 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 12:35:48.856 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 12:35:48.899 | DEBUG    | src.common.nuitka_command.manager.manager_plugin:fetch_plugin_from_cmd:112 - 获取到29个插件
2026-02-12 12:36:47.036 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 12:36:47.781 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 12:36:47.795 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 12:36:47.813 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 12:36:47.819 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 12:36:47.846 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 12:36:47.852 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 12:36:47.897 | DEBUG    | src.common.nuitka_command.manager.manager_plugin:fetch_plugin_from_cmd:112 - 获取到29个插件
2026-02-12 12:40:05.499 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 12:40:06.476 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 12:40:06.486 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 12:40:06.504 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 12:40:06.509 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 12:40:06.535 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 12:40:06.542 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 12:40:06.583 | DEBUG    | src.common.nuitka_command.manager.manager_plugin:fetch_plugin_from_cmd:112 - 获取到29个插件
2026-02-12 12:50:13.918 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 12:50:13.918 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 12:50:23.618 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 12:50:24.390 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 12:50:24.401 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 12:50:24.418 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 12:50:24.423 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 12:50:24.449 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 12:50:24.455 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 12:50:24.497 | DEBUG    | src.common.nuitka_command.manager.manager_plugin:fetch_plugin_from_cmd:112 - 获取到29个插件
2026-02-12 12:52:24.452 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 12:52:25.446 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 12:52:25.457 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 12:52:25.475 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 12:52:25.480 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 12:52:25.509 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 12:52:25.515 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 12:52:25.557 | DEBUG    | src.common.nuitka_command.manager.manager_plugin:fetch_plugin_from_cmd:112 - 获取到29个插件
2026-02-12 12:57:55.735 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 12:57:56.425 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 12:57:56.437 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 12:57:56.455 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 12:57:56.461 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 12:57:56.490 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 12:57:56.495 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 12:57:56.544 | DEBUG    | src.common.nuitka_command.manager.manager_plugin:fetch_plugin_from_cmd:112 - 获取到29个插件
2026-02-12 12:58:55.798 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 12:58:56.471 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 12:58:56.483 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 12:58:56.500 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 12:58:56.506 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 12:58:56.534 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 12:58:56.539 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 12:58:56.584 | DEBUG    | src.common.nuitka_command.manager.manager_plugin:fetch_plugin_from_cmd:112 - 获取到29个插件
2026-02-12 12:59:27.862 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 12:59:28.546 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 12:59:28.558 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 12:59:28.574 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 12:59:28.580 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 12:59:28.607 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 12:59:28.612 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 12:59:28.657 | DEBUG    | src.common.nuitka_command.manager.manager_plugin:fetch_plugin_from_cmd:112 - 获取到29个插件
2026-02-12 13:02:34.938 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 13:02:35.597 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 13:02:35.609 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 13:02:35.625 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 13:02:35.631 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 13:02:35.658 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 13:02:35.664 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 13:02:35.705 | DEBUG    | src.common.nuitka_command.manager.manager_plugin:fetch_plugin_from_cmd:112 - 获取到29个插件
2026-02-12 13:03:27.031 | CRITICAL | src.component.cmd_text_edit:_handle_exception:131 - Uncaught exception: Traceback (most recent call last):
  File "E:\Python\lib\site-packages\qfluentwidgets\components\widgets\frameless_window.py", line 24, in nativeEvent
    def nativeEvent(self, eventType, message):
KeyboardInterrupt

2026-02-12 13:03:34.645 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 13:03:35.359 | DEBUG    | src.utils.env_utils:get_writeable_env:21 - 获取到的可写入的环境变量路径: [WindowsPath('C:/Users/Huojiayi/AppData/Roaming/npm')]
2026-02-12 13:03:35.368 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 13:03:35.384 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 13:03:35.400 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 13:03:35.405 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 13:03:35.430 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 13:03:35.437 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 13:06:59.528 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 13:07:00.402 | DEBUG    | src.utils.env_utils:get_writeable_env:21 - 获取到的可写入的环境变量路径: [WindowsPath('C:/Users/Huojiayi/AppData/Roaming/npm')]
2026-02-12 13:07:00.413 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 13:07:00.426 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 13:07:00.443 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 13:07:00.449 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 13:07:00.478 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 13:07:00.484 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 13:07:07.418 | DEBUG    | src.presenter.welcome_presenter:_finished:178 - 配置完成,重启软件
2026-02-12 13:07:12.547 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 13:07:13.363 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 13:07:13.376 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 13:07:13.396 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 13:07:13.402 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 13:07:13.431 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 13:07:13.438 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 13:07:13.485 | DEBUG    | src.common.nuitka_command.manager.manager_plugin:fetch_plugin_from_cmd:112 - 获取到29个插件
2026-02-12 13:11:07.063 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 13:11:07.854 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 13:11:07.867 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 13:11:07.887 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 13:11:07.895 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 13:11:07.931 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 13:11:07.939 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 13:11:07.998 | DEBUG    | src.common.nuitka_command.manager.manager_plugin:fetch_plugin_from_cmd:112 - 获取到29个插件
2026-02-12 13:11:15.494 | DEBUG    | src.common.nuitka_command.command:value:222 - CommandChoiceBase: 打包后禁用控制台 = force
2026-02-12 13:11:17.709 | DEBUG    | src.common.nuitka_command.command:value:222 - CommandChoiceBase: 打包后禁用控制台 = 
2026-02-12 13:11:19.572 | DEBUG    | src.common.nuitka_command.command:value:222 - CommandChoiceBase: 打包后禁用控制台 = attach
2026-02-12 13:11:25.221 | DEBUG    | src.common.nuitka_command.command:value:222 - CommandChoiceBase: 打包后禁用控制台 = disable
2026-02-12 13:11:40.660 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 13:11:41.681 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 13:11:41.700 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 13:11:41.723 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 13:11:41.724 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 13:11:41.756 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 13:11:41.766 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 13:11:41.806 | DEBUG    | src.common.nuitka_command.manager.manager_plugin:fetch_plugin_from_cmd:112 - 获取到29个插件
2026-02-12 14:52:11.106 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 14:52:12.380 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 14:52:12.395 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 14:52:12.414 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 14:52:12.420 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 14:52:12.453 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 14:52:12.463 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 14:52:12.532 | DEBUG    | src.common.nuitka_command.manager.manager_plugin:fetch_plugin_from_cmd:112 - 获取到29个插件
2026-02-12 15:00:14.317 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 15:00:14.883 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 15:00:14.893 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 15:00:14.908 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 15:00:14.913 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 15:00:14.936 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 15:00:14.941 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 15:00:14.978 | DEBUG    | src.common.nuitka_command.manager.manager_plugin:fetch_plugin_from_cmd:112 - 获取到29个插件
2026-02-12 15:00:25.234 | DEBUG    | src.utils.env_utils:get_writeable_env:21 - 获取到的可写入的环境变量路径: [WindowsPath('C:/Users/Huojiayi/AppData/Roaming/npm')]
2026-02-12 15:00:26.750 | DEBUG    | src.common.manager.pip_manager:get_fastest_url:60 - 正在获取最快的链接: ['https://pypi.org/simple/', 'https://pypi.tuna.tsinghua.edu.cn/simple', 'https://mirrors.aliyun.com/pypi/simple/', 'https://pypi.mirrors.ustc.edu.cn/simple/', 'https://pypi.douban.com/simple/']
2026-02-12 15:00:26.935 | DEBUG    | src.common.manager.pip_manager:get_fastest_url:88 - 最快的链接: https://pypi.douban.com/simple/
2026-02-12 15:00:29.829 | DEBUG    | src.utils.python_env_utils:find_available_python_exe_python:34 - 寻找到可用的 Python: E:\Python\python.exe
2026-02-12 15:00:29.834 | DEBUG    | src.utils.python_env_utils:find_available_python_exe_python:35 - 一共有 1 个可用的 Python
2026-02-12 15:00:31.422 | DEBUG    | src.common.manager.pip_manager:install_package:109 - 安装包: nuitka, 命令: ['E:\\Python\\python.exe', 'pip', 'install', 'nuitka', '-U', '-i', 'https://pypi.douban.com/simple/']
2026-02-12 15:00:31.581 | DEBUG    | src.common.manager.pip_manager:install_package:109 - 安装包: nuitka, 命令: ['pip', 'install', 'nuitka', '-U', '-i', 'https://pypi.douban.com/simple/']
2026-02-12 15:00:42.157 | DEBUG    | src.common.manager.pip_manager:install_package:114 - 安装包: nuitka, 结果: CompletedProcess(args=['pip', 'install', 'nuitka', '-U', '-i', 'https://pypi.douban.com/simple/'], returncode=0)
2026-02-12 15:00:48.265 | DEBUG    | src.utils.env_utils:add_path_to_user_env_by_os:30 - 向用户环境变量中添加了路径: C:\Users\Huojiayi\Desktop\NuitkaGUI-main\dependence\downloads\depends\x86_64\ccache.exe
2026-02-12 15:00:48.297 | DEBUG    | src.utils.env_utils:add_path_to_user_env_by_os:30 - 向用户环境变量中添加了路径: C:\Users\Huojiayi\Desktop\NuitkaGUI-main\dependence\downloads\depends\x86_64\depends.dll
2026-02-12 15:00:48.331 | DEBUG    | src.utils.env_utils:add_path_to_user_env_by_os:30 - 向用户环境变量中添加了路径: C:\Users\Huojiayi\Desktop\NuitkaGUI-main\dependence\downloads\depends\x86_64\depends.exe
2026-02-12 15:00:48.375 | DEBUG    | src.utils.env_utils:add_path_to_user_env_by_os:30 - 向用户环境变量中添加了路径: C:\Users\Huojiayi\Desktop\NuitkaGUI-main\dependence\downloads\depends\x86_64\upx.exe
2026-02-12 15:00:48.409 | DEBUG    | src.utils.env_utils:add_path_to_user_env_by_os:30 - 向用户环境变量中添加了路径: C:\Users\Huojiayi\Desktop\NuitkaGUI-main\dependence\downloads\gcc\x86_64\13.2.0-16.0.6-11.0.1-msvcrt-r1\mingw64\bin\gcc.exe
2026-02-12 15:00:48.445 | DEBUG    | src.utils.env_utils:add_path_to_user_env_by_os:30 - 向用户环境变量中添加了路径: C:\Users\Huojiayi\Desktop\NuitkaGUI-main\dependence\downloads\gcc\x86_64\13.2.0-16.0.6-11.0.1-msvcrt-r1\mingw64\bin\clang.exe
2026-02-12 15:00:52.573 | DEBUG    | src.presenter.welcome_presenter:_finished:178 - 配置完成,重启软件
2026-02-12 15:00:55.737 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 15:00:56.303 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 15:00:56.312 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 15:00:56.327 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 15:00:56.331 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 15:00:56.355 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 15:00:56.360 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 15:00:56.397 | DEBUG    | src.common.nuitka_command.manager.manager_plugin:fetch_plugin_from_cmd:112 - 获取到29个插件
2026-02-12 15:01:05.792 | DEBUG    | src.presenter.basic_presenter:_open_file_dialog:76 - 选择 Python 文件为:D:/NuitkaGUI-main/NuitkaGUI.py
2026-02-12 15:01:14.629 | DEBUG    | src.common.nuitka_command.command:value:303 - CommandIntBase: jobs = 0
2026-02-12 15:01:14.989 | DEBUG    | src.common.nuitka_command.command:value:303 - CommandIntBase: jobs = 1
2026-02-12 15:01:37.958 | DEBUG    | src.presenter.plugin_presenter:finished_func:80 - 自动检测到的插件: ['pyside6', 'enum-compat', 'tk-inter']
2026-02-12 15:02:07.919 | DEBUG    | src.common.nuitka_command.command:value:222 - CommandChoiceBase: 打包后禁用控制台 = disable
2026-02-12 15:02:19.887 | DEBUG    | src.common.nuitka_command.command:value:222 - CommandChoiceBase: 打包后禁用控制台 = force
